['9743', '683', '813', '0']
['9744', '683', '813', '0']
['9745', '695', '823', '0']
['9746', '695', '823', '0']
['9747', '723', '850', '0']
['9748', '723', '850', '0']
['9748', '723', '850', '0']
['9748', '723', '850', '0']
['9748', '723', '850', '0']
['9748', '723', '850', '0']
['9748', '723', '850', '0']
['9748', '723', '850', '0']

['9749', '730', '859', '0']
['9772', '765', '922', '0']
['9773', '765', '922', '0']
['9774', '770', '927', '0']
['9775', '770', '927', '0']
['9776', '787', '925', '0']
['9777', '787', '925', '0']
['9778', '792', '922', '0']
['9780', '803', '920', '0']
['9796', '867', '906', '0']
['9797', '867', '906', '0']
['9798', '867', '906', '0']
['9799', '870', '907', '0']
['9799', '870', '907', '0']

['4895', '962', '621', '0']
['4895', '962', '621', '0']
['4895', '962', '621', '0']
['4895', '962', '621', '0']
['4895', '962', '621', '0']
['4895', '962', '621', '0']
['9838', '871', '724', '0']
['9838', '871', '724', '0']
['9839', '878', '720', '0']
['9840', '878', '720', '0']
['9841', '878', '720', '0']
['9850', '901', '654', '0']
['9851', '901', '654', '0']
['9852', '951', '589', '0']
['9853', '968', '554', '0']
['9854', '968', '554', '0']
['9855', '934', '511', '0']
['9856', '934', '511', '0']
['9857', '885', '422', '0']
['9857', '885', '422', '0']
['9857', '885', '422', '0']
['9858', '885', '422', '0']
  
['9899', '886', '295', '0']
['9899', '886', '295', '0']
['9899', '886', '295', '0']
['9899', '886', '295', '0']

['9899', '886', '295', '0']
['9900', '886', '295', '0']
['9901', '886', '262', '0']
['9902', '883', '252', '0']
['9903', '883', '252', '0']
['9904', '883', '252', '0']
['9905', '882', '253', '0']
['9906', '882', '253', '0']
['9907', '880', '269', '0']
['9908', '880', '269', '0']
['9925', '852', '350', '0']
['9926', '845', '354', '0']
['9928', '845', '363', '0']
['9929', '845', '363', '0']
['9931', '877', '377', '0']
['9938', '1024', '581', '0']
['9945', '1024', '576', '0']
['9946', '1024', '576', '0']
['9947', '1024', '576', '0']
['9948', '1024', '576', '1']

['9949', '220', '180', '0']

