['7961', '896', '605', '0']
['7962', '894', '608', '0']
['7963', '894', '608', '0']
['7964', '894', '608', '0']
['7965', '894', '608', '0']
['7966', '898', '607', '0']
['7967', '898', '607', '0']
['7968', '899', '604', '0']
['7969', '899', '604', '0']
['7970', '899', '604', '0']
['7983', '727', '268', '0']
['7984', '727', '268', '0']
['7988', '727', '250', '0']
['7991', '729', '249', '0']
['7992', '729', '249', '0']
['7993', '734', '252', '0']
['7994', '734', '252', '0']
['8001', '734', '252', '0']
['7994', '734', '252', '0']
['8001', '734', '252', '0']
['7994', '734', '252', '0']
['8001', '734', '252', '0']
['8005', '733', '266', '0']
['8006', '715', '243', '0']
['8007', '715', '243', '0']
['8008', '715', '243', '0']
['8009', '714', '242', '0']
['8010', '710', '255', '0']
['8013', '713', '270', '0']
['8015', '713', '270', '0']
['8016', '711', '275', '0']
['8019', '716', '279', '0']
['8020', '716', '279', '0']
['8021', '710', '295', '0']
['8022', '710', '295', '0']
['8023', '700', '309', '0']
['8025', '686', '344', '0']
['8027', '669', '373', '0']
['8030', '667', '382', '0']
['8031', '672', '374', '0']
['8034', '662', '392', '0']
['8035', '662', '392', '0']
['8036', '652', '410', '0']
['8037', '652', '410', '0']
['8038', '646', '424', '0']
['8040', '636', '441', '0']
['8043', '626', '458', '0']
['8045', '615', '475', '0']
['8046', '608', '485', '0']
['8048', '598', '496', '0']
['8049', '598', '496', '0']
['8050', '591', '501', '0']
['8051', '591', '501', '0']
['8056', '576', '505', '0']
['8057', '576', '505', '0']
['8059', '574', '506', '0']
['8061', '567', '512', '0']
['8063', '559', '511', '0']
['8064', '552', '510', '0']
['8065', '552', '510', '0']
['8066', '533', '514', '0']
['8067', '533', '514', '0']
['8068', '515', '519', '0']
['8069', '515', '519', '0']
['8070', '515', '519', '0']
['8071', '497', '522', '0']
['8072', '497', '522', '0']
['8073', '491', '523', '0']
['8074', '491', '523', '0']
['8075', '482', '527', '0']
['8076', '482', '527', '0']
['8077', '470', '530', '0']
['8078', '470', '530', '0']
['8079', '466', '591', '0']
['8080', '466', '591', '0']
['8082', '460', '654', '0']
['8083', '455', '704', '0']
['8084', '455', '704', '0']
['8085', '451', '852', '0']
['8086', '451', '852', '0']
['8091', '445', '852', '0']
['8091', '445', '852', '0']
['8094', '443', '855', '0']
['8095', '437', '850', '0']
['8095', '437', '850', '0']
['8099', '426', '851', '0']
['8100', '426', '851', '0']
['8100', '420', '851', '0']
['8103', '413', '850', '0']
['8104', '413', '850', '0']
['8104', '300', '850', '0']
['8104', '250', '850', '0']
['8105', '200', '858', '0']
['8105', '100', '858', '0']
['8105', '61', '858', '0']
['8107', '60', '845', '0']
['8109', '71', '845', '0']
['8110', '71', '845', '0']
['8113', '73', '842', '0']
['8114', '73', '842', '0']
['8123', '76', '844', '0']
['8124', '75', '844', '0']
['8125', '75', '844', '0']
['8126', '74', '840', '0']
['8129', '67', '832', '0']
['8130', '67', '832', '0']
['8131', '63', '826', '0']
['8136', '56', '808', '0']
['8138', '75', '723', '0']
['8139', '105', '584', '0']
['8142', '139', '454', '0']
['8144', '176', '330', '0']
['8145', '198', '259', '0']
['8146', '198', '259', '0']
['8145', '198', '259', '0']
['8146', '198', '259', '0']
['8147', '198', '259', '0']
['8146', '198', '259', '0']
['8147', '198', '259', '0']
['8146', '198', '259', '0']
['8147', '198', '259', '0']
['8146', '198', '259', '0']
